id,name,location,room_info,floor,direction,area,price,avg_price,history,title,labels,timestamp
S3048618030226432,菱翔苑(一期),浦东 周浦 年家浜路501弄1-26号,3室2厅2卫,中层(共12层),南,136.15㎡,640万,47007元/㎡,2003年建造,近商圈，近地铁。大三房，景观楼层,"['南', '近地铁', '多人关注']",2024-06-07 16:14:29
S3048626596061197,汇丽苑,"浦东 周浦 川周公路4011弄,关岳路229弄,周东新村",3室2厅1卫,低层(共12层),南,114.07㎡,500万,43833元/㎡,2006年建造,周浦 带电梯 购物方便 环境优美 正规商品房 南向采光好,"['南', '有电梯', '绿化率高']",2024-06-07 16:37:46
S3048724836196356,钦州公寓,"徐汇 田林 钦州路760,780,820号",1室1厅1卫,低层(共18层),南北,43.92㎡,375万,85383元/㎡,1995年建造,六院医疗配套成熟 购物方便 满五   双卫 交通便捷 临地铁,"['南北', '满五年', '近地铁', '户型方正']",2024-06-07 15:52:19
S3048738060902408,徐汇公园道壹号,"徐汇 龙华 宾南路19弄,宾阳路18弄",3室2厅2卫,高层(共18层),南北,133.93㎡,2030万,151572元/㎡,2018年建造,18年次新精装修，花园位置电梯高区，包含产权车位，，业主诚意,"['南北', '满五年', '近地铁']",2024-06-07 15:33:26
S3048859037885451,东方城市花园(二期),浦东 南码头 东方路1881弄,2室2厅1卫,高层(共24层),南,109.41㎡,828万,75679元/㎡,2005年建造,东方城市花园(二期) 豪华设计 出行方便 商品住宅 商圈成熟,"['南', '有电梯', '近地铁', '绿化率高']",2024-06-07 16:41:55
S3048869836595209,上钢七村,浦东 世博 上钢七村1-92号,1室1厅1卫,低层(共6层),南北,36.21㎡,198万,54682元/㎡,1998年建造,精致装修 拎包入住 7号8号13号线地铁 一房一厅,"['南北', '满五年', '近地铁', '采光较好']",2024-06-07 16:37:04
S3048874052396032,东方城市花园(二期),浦东 南码头 东方路1881弄,3室2厅2卫,低层(共30层),南北,162.3㎡,1288万,79360元/㎡,2005年建造,动静分离大三房！小区央座满五！近地铁！送产权车位！欢迎品鉴！,"['南北', '满五年', '近地铁', '绿化率高']",2024-06-07 16:37:39
S3048878172920838,西雅图嘉萱苑,徐汇 龙华 三江路88弄,3室2厅2卫,低层(共17层),南北,136.16㎡,1370万,100617元/㎡,2004年建造,西雅图嘉萱苑 南北通透 双卫生间 医疗配套成熟 板楼 带电梯,"['南北', '满五年', '近地铁', '人气热搜']",2024-06-07 15:34:30
S3048883082617862,高申北苑,浦东 高行 思学路165弄,3室2厅1卫,中层(共11层),南北,99.41㎡,418万,42049元/㎡,2017年建造,17年电梯高层，21号和6号双轨交汇，近森兰社区，视野开阔。,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:37:00
S3049174750780428,永泰花苑,浦东 三林 永泰路630弄,2室2厅1卫,高层(共18层),南北,83.78㎡,430万,51325元/㎡,2015年建造,急售！精装家具家电全送 高区景观 超高得房率 价可谈 有钥匙,"['南北', '热门小区', '配套成熟', '房东急售']",2024-06-07 16:36:54
S3049177773629451,永泰花苑,浦东 三林 永泰路630弄,2室2厅1卫,中层(共18层),南北,83.39㎡,445万,53364元/㎡,2006年建造,  笋盘挂牌！！精装修一年 可大谈 急用钱 接受提前交付,"['南北', '满五年', '近地铁', '绿化率高']",2024-06-07 16:37:19
S3049178821630979,东方城市花园(二期),浦东 南码头 东方路1881弄,2室2厅2卫,低层(共14层),南北,122.5㎡,869万,70939元/㎡,2005年建造,商圈成熟 电梯房 刚需两居 近医院 商品住宅 满五  ,"['南北', '满五年', '近地铁', '绿化率高']",2024-06-07 16:37:30
S3049181802882063,东安四村,徐汇 斜土路 东安四村1-47号,2室0厅1卫,低层(共6层),南,52.33㎡,378万,72234元/㎡,2000年建造,出国诚售！接受长时间置换和动迁！送10W！精装修！看房随时！,"['南', '满五年', '近地铁', '多人关注']",2024-06-07 15:52:19
S3049182685029381,枫林新村,徐汇 斜土路 零陵路250弄1-59号,2室0厅1卫,低层(共6层),南北,46.95㎡,363万,77317元/㎡,1989年建造,新出笋盘 全明双南2房 房东急售 单价7开头,"['南北', '满五年', '近地铁']",2024-06-07 15:52:19
S3049192509154313,世茂滨江花园(北区),浦东 陆家嘴 潍坊西路1弄,4室2厅4卫,高层(共60层),西南,312.82㎡,3750万,119878元/㎡,2009年建造,世茂滨江花园(北区) 满五 商圈成熟 产权清晰 近医院,"['西南', '满五年', '近地铁', '绿化率高']",2024-06-07 16:37:04
S3049193445366798,祝康苑,浦东 祝桥  南祝路108弄,3室2厅2卫,中层(共14层),南,121.12㎡,315万,26008元/㎡,2013年建造,房东急售哦！可看山景，可观海景！楼层好位置佳 看房方便,"['南', '满五年', '多人关注']",2024-06-07 16:16:49
S3049199469829131,德锦苑,浦东 北蔡 陈春路620弄,2室2厅1卫,低层(共17层),南北,86.23㎡,500万,57985元/㎡,2015年建造,次新两房  诚心出售 价格可谈,"['南北', '近地铁', '多人关注']",2024-06-07 16:36:54
S3049202478507012,东方鸿璟(公寓住宅),"浦东 祝桥  卫亭路999弄,航亭环路399弄",2室2厅1卫,中层(共14层),南北,88.09㎡,290万,32921元/㎡,2017年建造,东方鸿璟园二期 电梯景观楼层 采光  好 满五V一 看房随时,"['南北', '满五年', '户型方正']",2024-06-07 16:37:46
S3049216146988042,东方知音苑,浦东 金杨新村 博山东路811弄,3室2厅1卫,高层(共7层),南北,99.63㎡,899万,90234元/㎡,2003年建造,新上三房，带车位，电梯高区，婚房装修，花园位置，出国急售,"['南北', '满五', '房东急售']",2024-06-07 16:36:54
S3049220029078534,金桥一方雅苑,浦东 金桥 凌河路777弄,2室2厅1卫,低层(共7层),南北,91.87㎡,630万,68576元/㎡,2005年建造,金桥一方雅苑 精装修 近地铁 交通便捷 南北通透 有电梯,"['南北', '唯一住房', '近地铁', '绿化率高']",2024-06-07 16:37:04
S3049224981095436,崮山小区二街坊,浦东 洋泾 灵山路1415弄,1室1厅1卫,高层(共6层),西南,45.64㎡,328万,71867元/㎡,1999年建造,崮山总价低1房，双    ，性价比之 ，业主急售，有钥匙,"['西南', '满五年', '近地铁']",2024-06-07 16:41:55
